"P-Logit" "P-Tree" "P-RF"
0.838 0.844 0.863
0.838 0.848 0.864
0.835 0.846 0.861
0.829 0.843 0.857
0.84 0.846 0.864
0.833 0.844 0.858
0.84 0.848 0.86
0.841 0.85 0.866
0.831 0.847 0.858
0.837 0.849 0.864
0.838 0.847 0.864
0.829 0.844 0.857
0.835 0.847 0.862
0.839 0.846 0.861
0.835 0.845 0.858
0.834 0.848 0.859
0.838 0.846 0.861
0.837 0.847 0.863
0.832 0.841 0.861
0.832 0.84 0.856



